Data,inflacja,Razem
Apr2017,2,428
Apr2018,1.5,509
Apr2019,1.5,449
Apr2020,4.200000000000003,377
Aug2017,1.9000000000000057,470
Aug2018,1.7000000000000028,489
Aug2019,2.0999999999999943,479
Aug2020,3.5999999999999943,475
Dec2017,2,419
Dec2018,1.5999999999999943,364
Dec2019,2.299999999999997,415
Dec2020,3.4000000000000057,421
Feb2017,2,402
Feb2018,1.5999999999999943,334
Feb2019,1,386
Feb2020,4.5,370
Jan2017,1.7000000000000028,404
Jan2018,1.9000000000000057,427
Jan2019,0.7000000000000028,398
Jan2020,4.299999999999997,417
Jul2017,1.9000000000000057,490
Jul2018,1.7000000000000028,453
Jul2019,2,447
Jul2020,3.700000000000003,498
Jun2017,1.9000000000000057,445
Jun2018,1.5999999999999943,482
Jun2019,1.7999999999999972,503
Jun2020,3.9000000000000057,487
Mar2017,2,450
Mar2018,1.5,436
Mar2019,1.2000000000000028,417
Mar2020,4.5,398
May2017,2,534
May2018,1.5999999999999943,488
May2019,1.7000000000000028,480
May2020,4,479
Nov2017,2,381
Nov2018,1.7000000000000028,404
Nov2019,2.200000000000003,409
Nov2020,3.5,379
Oct2017,1.9000000000000057,438
Oct2018,1.7000000000000028,417
Oct2019,2.200000000000003,456
Oct2020,3.5,449
Sep2017,1.9000000000000057,415
Sep2018,1.7000000000000028,379
Sep2019,2.0999999999999943,416
Sep2020,3.5999999999999943,415
