,Województwa,Stopa bezrobocia w %,Data
1,POLSKA,8.6,January 2017
2,POLSKA,6.9,January 2018
3,POLSKA,6.1,January 2019
4,POLSKA,5.5,January 2020
5,POLSKA,8.5,February 2017
6,POLSKA,6.8,February 2018
7,POLSKA,6.1,February 2019
8,POLSKA,5.5,February 2020
9,POLSKA,8.1,March 2017
10,POLSKA,6.6,March 2018
11,POLSKA,5.9,March 2019
12,POLSKA,5.4,March 2020
13,POLSKA,7.7,April 2017
14,POLSKA,6.3,April 2018
15,POLSKA,5.6,April 2019
16,POLSKA,5.8,April 2020
17,POLSKA,7.4,May 2017
18,POLSKA,6.1,May 2018
19,POLSKA,5.4,May 2019
20,POLSKA,6,May 2020
21,POLSKA,7.1,June 2017
22,POLSKA,5.9,June 2018
23,POLSKA,5.3,June 2019
24,POLSKA,6.1,June 2020
25,POLSKA,7.1,July 2017
26,POLSKA,5.9,July 2018
27,POLSKA,5.2,July 2019
28,POLSKA,6.1,July 2020
29,POLSKA,7,August 2017
30,POLSKA,5.8,August 2018
31,POLSKA,5.2,August 2019
32,POLSKA,6.1,August 2020
33,POLSKA,6.8,September 2017
34,POLSKA,5.7,September 2018
35,POLSKA,5.1,September 2019
36,POLSKA,6.1,September 2020
37,POLSKA,6.6,October 2017
38,POLSKA,5.7,October 2018
39,POLSKA,5,October 2019
40,POLSKA,6.1,October 2020
41,POLSKA,6.5,November 2017
42,POLSKA,5.7,November 2018
43,POLSKA,5.1,November 2019
44,POLSKA,6.1,November 2020
45,POLSKA,6.6,December 2017
46,POLSKA,5.8,December 2018
47,POLSKA,5.2,December 2019
48,POLSKA,6.2,December 2020
49,Woj. DOLNOŚLĄSKIE,7.6,January 2017
50,Woj. DOLNOŚLĄSKIE,6,January 2018
51,Woj. DOLNOŚLĄSKIE,5.4,January 2019
52,Woj. DOLNOŚLĄSKIE,4.9,January 2020
53,Woj. DOLNOŚLĄSKIE,7.5,February 2017
54,Woj. DOLNOŚLĄSKIE,6,February 2018
55,Woj. DOLNOŚLĄSKIE,5.4,February 2019
56,Woj. DOLNOŚLĄSKIE,4.9,February 2020
57,Woj. DOLNOŚLĄSKIE,7.2,March 2017
58,Woj. DOLNOŚLĄSKIE,5.8,March 2018
59,Woj. DOLNOŚLĄSKIE,5.3,March 2019
60,Woj. DOLNOŚLĄSKIE,4.8,March 2020
61,Woj. DOLNOŚLĄSKIE,6.9,April 2017
62,Woj. DOLNOŚLĄSKIE,5.6,April 2018
63,Woj. DOLNOŚLĄSKIE,5,April 2019
64,Woj. DOLNOŚLĄSKIE,5.1,April 2020
65,Woj. DOLNOŚLĄSKIE,6.6,May 2017
66,Woj. DOLNOŚLĄSKIE,5.4,May 2018
67,Woj. DOLNOŚLĄSKIE,4.9,May 2019
68,Woj. DOLNOŚLĄSKIE,5.5,May 2020
69,Woj. DOLNOŚLĄSKIE,6.3,June 2017
70,Woj. DOLNOŚLĄSKIE,5.2,June 2018
71,Woj. DOLNOŚLĄSKIE,4.7,June 2019
72,Woj. DOLNOŚLĄSKIE,5.6,June 2020
73,Woj. DOLNOŚLĄSKIE,6.3,July 2017
74,Woj. DOLNOŚLĄSKIE,5.2,July 2018
75,Woj. DOLNOŚLĄSKIE,4.7,July 2019
76,Woj. DOLNOŚLĄSKIE,5.7,July 2020
77,Woj. DOLNOŚLĄSKIE,6.3,August 2017
78,Woj. DOLNOŚLĄSKIE,5.2,August 2018
79,Woj. DOLNOŚLĄSKIE,4.7,August 2019
80,Woj. DOLNOŚLĄSKIE,5.7,August 2020
81,Woj. DOLNOŚLĄSKIE,6.1,September 2017
82,Woj. DOLNOŚLĄSKIE,5.1,September 2018
83,Woj. DOLNOŚLĄSKIE,4.6,September 2019
84,Woj. DOLNOŚLĄSKIE,5.6,September 2020
85,Woj. DOLNOŚLĄSKIE,5.8,October 2017
86,Woj. DOLNOŚLĄSKIE,5,October 2018
87,Woj. DOLNOŚLĄSKIE,4.5,October 2019
88,Woj. DOLNOŚLĄSKIE,5.5,October 2020
89,Woj. DOLNOŚLĄSKIE,5.6,November 2017
90,Woj. DOLNOŚLĄSKIE,5.1,November 2018
91,Woj. DOLNOŚLĄSKIE,4.5,November 2019
92,Woj. DOLNOŚLĄSKIE,5.5,November 2020
93,Woj. DOLNOŚLĄSKIE,5.7,December 2017
94,Woj. DOLNOŚLĄSKIE,5.2,December 2018
95,Woj. DOLNOŚLĄSKIE,4.6,December 2019
96,Woj. DOLNOŚLĄSKIE,5.6,December 2020
97,Woj. KUJAWSKO-POMORSKIE,12.5,January 2017
98,Woj. KUJAWSKO-POMORSKIE,10.3,January 2018
99,Woj. KUJAWSKO-POMORSKIE,9.2,January 2019
100,Woj. KUJAWSKO-POMORSKIE,8.2,January 2020
101,Woj. KUJAWSKO-POMORSKIE,12.4,February 2017
102,Woj. KUJAWSKO-POMORSKIE,10.2,February 2018
103,Woj. KUJAWSKO-POMORSKIE,9.1,February 2019
104,Woj. KUJAWSKO-POMORSKIE,8.1,February 2020
105,Woj. KUJAWSKO-POMORSKIE,11.9,March 2017
106,Woj. KUJAWSKO-POMORSKIE,9.9,March 2018
107,Woj. KUJAWSKO-POMORSKIE,8.8,March 2019
108,Woj. KUJAWSKO-POMORSKIE,7.9,March 2020
109,Woj. KUJAWSKO-POMORSKIE,11.3,April 2017
110,Woj. KUJAWSKO-POMORSKIE,9.4,April 2018
111,Woj. KUJAWSKO-POMORSKIE,8.4,April 2019
112,Woj. KUJAWSKO-POMORSKIE,8.3,April 2020
113,Woj. KUJAWSKO-POMORSKIE,10.9,May 2017
114,Woj. KUJAWSKO-POMORSKIE,9.1,May 2018
115,Woj. KUJAWSKO-POMORSKIE,8.1,May 2019
116,Woj. KUJAWSKO-POMORSKIE,8.6,May 2020
117,Woj. KUJAWSKO-POMORSKIE,10.5,June 2017
118,Woj. KUJAWSKO-POMORSKIE,8.9,June 2018
119,Woj. KUJAWSKO-POMORSKIE,7.9,June 2019
120,Woj. KUJAWSKO-POMORSKIE,8.7,June 2020
121,Woj. KUJAWSKO-POMORSKIE,10.4,July 2017
122,Woj. KUJAWSKO-POMORSKIE,8.7,July 2018
123,Woj. KUJAWSKO-POMORSKIE,7.8,July 2019
124,Woj. KUJAWSKO-POMORSKIE,8.7,July 2020
125,Woj. KUJAWSKO-POMORSKIE,10.3,August 2017
126,Woj. KUJAWSKO-POMORSKIE,8.6,August 2018
127,Woj. KUJAWSKO-POMORSKIE,7.7,August 2019
128,Woj. KUJAWSKO-POMORSKIE,8.6,August 2020
129,Woj. KUJAWSKO-POMORSKIE,10.1,September 2017
130,Woj. KUJAWSKO-POMORSKIE,8.6,September 2018
131,Woj. KUJAWSKO-POMORSKIE,7.6,September 2019
132,Woj. KUJAWSKO-POMORSKIE,8.7,September 2020
133,Woj. KUJAWSKO-POMORSKIE,9.8,October 2017
134,Woj. KUJAWSKO-POMORSKIE,8.5,October 2018
135,Woj. KUJAWSKO-POMORSKIE,7.5,October 2019
136,Woj. KUJAWSKO-POMORSKIE,8.6,October 2020
137,Woj. KUJAWSKO-POMORSKIE,9.8,November 2017
138,Woj. KUJAWSKO-POMORSKIE,8.6,November 2018
139,Woj. KUJAWSKO-POMORSKIE,7.6,November 2019
140,Woj. KUJAWSKO-POMORSKIE,8.7,November 2020
141,Woj. KUJAWSKO-POMORSKIE,10,December 2017
142,Woj. KUJAWSKO-POMORSKIE,8.8,December 2018
143,Woj. KUJAWSKO-POMORSKIE,7.8,December 2019
144,Woj. KUJAWSKO-POMORSKIE,8.9,December 2020
145,Woj. ZACHODNIOPOMORSKIE,11.5,January 2017
146,Woj. ZACHODNIOPOMORSKIE,9.1,January 2018
147,Woj. ZACHODNIOPOMORSKIE,7.8,January 2019
148,Woj. ZACHODNIOPOMORSKIE,7.2,January 2020
149,Woj. ZACHODNIOPOMORSKIE,11.3,February 2017
150,Woj. ZACHODNIOPOMORSKIE,9,February 2018
151,Woj. ZACHODNIOPOMORSKIE,7.8,February 2019
152,Woj. ZACHODNIOPOMORSKIE,7.2,February 2020
153,Woj. ZACHODNIOPOMORSKIE,10.7,March 2017
154,Woj. ZACHODNIOPOMORSKIE,8.6,March 2018
155,Woj. ZACHODNIOPOMORSKIE,7.5,March 2019
156,Woj. ZACHODNIOPOMORSKIE,7.1,March 2020
157,Woj. ZACHODNIOPOMORSKIE,10.1,April 2017
158,Woj. ZACHODNIOPOMORSKIE,8.1,April 2018
159,Woj. ZACHODNIOPOMORSKIE,7.1,April 2019
160,Woj. ZACHODNIOPOMORSKIE,7.7,April 2020
161,Woj. ZACHODNIOPOMORSKIE,9.8,May 2017
162,Woj. ZACHODNIOPOMORSKIE,7.8,May 2018
163,Woj. ZACHODNIOPOMORSKIE,6.9,May 2019
164,Woj. ZACHODNIOPOMORSKIE,8,May 2020
165,Woj. ZACHODNIOPOMORSKIE,9.3,June 2017
166,Woj. ZACHODNIOPOMORSKIE,7.4,June 2018
167,Woj. ZACHODNIOPOMORSKIE,6.6,June 2019
168,Woj. ZACHODNIOPOMORSKIE,7.9,June 2020
169,Woj. ZACHODNIOPOMORSKIE,9.1,July 2017
170,Woj. ZACHODNIOPOMORSKIE,7.3,July 2018
171,Woj. ZACHODNIOPOMORSKIE,6.5,July 2019
172,Woj. ZACHODNIOPOMORSKIE,7.9,July 2020
173,Woj. ZACHODNIOPOMORSKIE,9.1,August 2017
174,Woj. ZACHODNIOPOMORSKIE,7.3,August 2018
175,Woj. ZACHODNIOPOMORSKIE,6.5,August 2019
176,Woj. ZACHODNIOPOMORSKIE,7.8,August 2020
177,Woj. ZACHODNIOPOMORSKIE,8.9,September 2017
178,Woj. ZACHODNIOPOMORSKIE,7.1,September 2018
179,Woj. ZACHODNIOPOMORSKIE,6.5,September 2019
180,Woj. ZACHODNIOPOMORSKIE,7.9,September 2020
181,Woj. ZACHODNIOPOMORSKIE,8.6,October 2017
182,Woj. ZACHODNIOPOMORSKIE,7.2,October 2018
183,Woj. ZACHODNIOPOMORSKIE,6.5,October 2019
184,Woj. ZACHODNIOPOMORSKIE,7.9,October 2020
185,Woj. ZACHODNIOPOMORSKIE,8.6,November 2017
186,Woj. ZACHODNIOPOMORSKIE,7.3,November 2018
187,Woj. ZACHODNIOPOMORSKIE,6.6,November 2019
188,Woj. ZACHODNIOPOMORSKIE,8.1,November 2020
189,Woj. ZACHODNIOPOMORSKIE,8.7,December 2017
190,Woj. ZACHODNIOPOMORSKIE,7.4,December 2018
191,Woj. ZACHODNIOPOMORSKIE,6.7,December 2019
192,Woj. ZACHODNIOPOMORSKIE,8.3,December 2020
193,Woj. POMORSKIE,7.5,January 2017
194,Woj. POMORSKIE,5.7,January 2018
195,Woj. POMORSKIE,5.2,January 2019
196,Woj. POMORSKIE,4.7,January 2020
197,Woj. POMORSKIE,7.4,February 2017
198,Woj. POMORSKIE,5.7,February 2018
199,Woj. POMORSKIE,5.2,February 2019
200,Woj. POMORSKIE,4.7,February 2020
201,Woj. POMORSKIE,7,March 2017
202,Woj. POMORSKIE,5.5,March 2018
203,Woj. POMORSKIE,5.1,March 2019
204,Woj. POMORSKIE,4.8,March 2020
205,Woj. POMORSKIE,6.5,April 2017
206,Woj. POMORSKIE,5.3,April 2018
207,Woj. POMORSKIE,4.8,April 2019
208,Woj. POMORSKIE,5.2,April 2020
209,Woj. POMORSKIE,6.3,May 2017
210,Woj. POMORSKIE,5.1,May 2018
211,Woj. POMORSKIE,4.6,May 2019
212,Woj. POMORSKIE,5.5,May 2020
213,Woj. POMORSKIE,5.9,June 2017
214,Woj. POMORSKIE,4.9,June 2018
215,Woj. POMORSKIE,4.4,June 2019
216,Woj. POMORSKIE,5.5,June 2020
217,Woj. POMORSKIE,5.8,July 2017
218,Woj. POMORSKIE,4.8,July 2018
219,Woj. POMORSKIE,4.4,July 2019
220,Woj. POMORSKIE,5.5,July 2020
221,Woj. POMORSKIE,5.9,August 2017
222,Woj. POMORSKIE,4.9,August 2018
223,Woj. POMORSKIE,4.4,August 2019
224,Woj. POMORSKIE,5.6,August 2020
225,Woj. POMORSKIE,5.7,September 2017
226,Woj. POMORSKIE,4.8,September 2018
227,Woj. POMORSKIE,4.4,September 2019
228,Woj. POMORSKIE,5.7,September 2020
229,Woj. POMORSKIE,5.5,October 2017
230,Woj. POMORSKIE,4.8,October 2018
231,Woj. POMORSKIE,4.4,October 2019
232,Woj. POMORSKIE,5.8,October 2020
233,Woj. POMORSKIE,5.5,November 2017
