Województwa ,Stopa bezrobocia w %
POLSKA                                                                ,5.8
Woj. DOLNOŚLĄSKIE                                                     ,5.2
      bolesławiecki                                                   ,3.8
      dzierżoniowski                                                  ,6.1
      głogowski                                                       ,8.9
      górowski                                                        ,15.2
      jaworski                                                        ,12.2
      jeleniogórski                                                   ,8.8
      kamiennogórski                                                  ,6.1
      kłodzki                                                         ,11.6
      legnicki                                                        ,10.5
      lubański                                                        ,7.4
      lubiński                                                        ,4.8
      lwówecki                                                        ,12.0
      milicki                                                         ,6.8
      oleśnicki                                                       ,5.4
      oławski                                                         ,5.4
      polkowicki                                                      ,4.4
      strzeliński                                                     ,10.4
      średzki                                                         ,5.7
      świdnicki                                                       ,6.2
      trzebnicki                                                      ,6.0
      wałbrzyski                                                      ,13.8
      wołowski                                                        ,11.1
      wrocławski                                                      ,1.9
      ząbkowicki                                                      ,11.0
      zgorzelecki                                                     ,5.0
      złotoryjski                                                     ,14.5
      m. Jelenia Góra                                                 ,3.5
      m. Legnica                                                      ,5.0
      m. Wrocław                                                      ,1.8
      m. Wałbrzych                                                    ,5.8
Woj. KUJAWSKO-POMORSKIE                                               ,8.8
      aleksandrowski                                                  ,13.0
      brodnicki                                                       ,7.1
      bydgoski                                                        ,5.6
      chełmiński                                                      ,12.4
      golubsko-dobrzyński                                             ,10.3
      grudziądzki                                                     ,13.3
      inowrocławski                                                   ,12.5
      lipnowski                                                       ,16.7
      mogileński                                                      ,10.7
      nakielski                                                       ,11.8
      radziejowski                                                    ,16.9
      rypiński                                                        ,11.2
      sępoleński                                                      ,12.8
      świecki                                                         ,7.6
      toruński                                                        ,11.0
      tucholski                                                       ,11.1
      wąbrzeski                                                       ,12.0
      włocławski                                                      ,16.0
      żniński                                                         ,10.7
      m. Bydgoszcz                                                    ,3.6
      m. Grudziądz                                                    ,9.2
      m. Toruń                                                        ,4.8
      m. Włocławek                                                    ,10.4
Woj. LUBELSKIE                                                        ,8.0
      bialski                                                         ,10.1
      biłgorajski                                                     ,5.1
      chełmski                                                        ,13.3
      hrubieszowski                                                   ,13.2
      janowski                                                        ,8.5
      krasnostawski                                                   ,11.6
      kraśnicki                                                       ,10.2
      lubartowski                                                     ,10.8
      lubelski                                                        ,6.4
      łęczyński                                                       ,5.3
      łukowski                                                        ,4.5
      opolski                                                         ,9.2
      parczewski                                                      ,7.3
      puławski                                                        ,6.1
      radzyński                                                       ,7.0
      rycki                                                           ,8.1
      świdnicki                                                       ,9.1
      tomaszowski                                                     ,6.8
      włodawski                                                       ,15.5
      zamojski                                                        ,9.2
      m. Biała Podlaska                                               ,10.5
      m. Chełm                                                        ,11.2
      m. Lublin                                                       ,5.5
      m. Zamość                                                       ,9.9
Woj. LUBUSKIE                                                         ,5.8
      gorzowski                                                       ,4.4
      krośnieński                                                     ,9.5
      międzyrzecki                                                    ,12.2
      nowosolski                                                      ,8.5
      słubicki                                                        ,2.5
      strzelecko-drezdenecki                                          ,10.9
      sulęciński                                                      ,6.4
      świebodziński                                                   ,4.5
      zielonogórski                                                   ,6.5
      żagański                                                        ,9.3
      żarski                                                          ,5.8
      wschowski                                                       ,8.2
      m. Gorzów Wielkopolski                                          ,2.6
      m. Zielona Góra                                                 ,3.4
Woj. ŁÓDZKIE                                                          ,6.1
      bełchatowski                                                    ,5.6
      kutnowski                                                       ,8.9
      łaski                                                           ,8.0
      łęczycki                                                        ,7.3
      łowicki                                                         ,5.5
      łódzki wschodni                                                 ,7.1
      opoczyński                                                      ,5.9
      pabianicki                                                      ,6.9
      pajęczański                                                     ,7.4
      piotrkowski                                                     ,5.7
      poddębicki                                                      ,6.6
      radomszczański                                                  ,6.0
      rawski                                                          ,3.7
      sieradzki                                                       ,6.1
      skierniewicki                                                   ,3.8
      tomaszowski                                                     ,7.4
      wieluński                                                       ,6.6
      wieruszowski                                                    ,4.6
      zduńskowolski                                                   ,7.0
      zgierski                                                        ,6.9
      brzeziński                                                      ,6.8
      m. Łódź                                                         ,5.5
      m. Piotrków Trybunalski                                         ,5.3
      m. Skierniewice                                                 ,5.4
Woj. MAŁOPOLSKIE                                                      ,4.7
      bocheński                                                       ,4.5
      brzeski                                                         ,5.5
      chrzanowski                                                     ,8.1
      dąbrowski                                                       ,10.9
      gorlicki                                                        ,5.5
      krakowski                                                       ,4.2
      limanowski                                                      ,7.6
      miechowski                                                      ,4.4
      myślenicki                                                      ,2.7
      nowosądecki                                                     ,8.2
      nowotarski                                                      ,6.0
      olkuski                                                         ,7.4
      oświęcimski                                                     ,5.7
      proszowicki                                                     ,6.1
      suski                                                           ,4.7
      tarnowski                                                       ,7.2
      tatrzański                                                      ,9.4
      wadowicki                                                       ,5.2
      wielicki                                                        ,4.7
      m. Kraków                                                       ,2.4
      m. Nowy Sącz                                                    ,3.2
      m. Tarnów                                                       ,5.2
Woj. MAZOWIECKIE                                                      ,4.9
      białobrzeski                                                    ,7.6
      ciechanowski                                                    ,9.9
      garwoliński                                                     ,9.1
      gostyniński                                                     ,14.5
      grodziski                                                       ,2.9
      grójecki                                                        ,2.1
      kozienicki                                                      ,10.7
      legionowski                                                     ,7.0
      lipski                                                          ,9.8
      łosicki                                                         ,5.6
      makowski                                                        ,16.4
      miński                                                          ,5.2
      mławski                                                         ,5.9
      nowodworski                                                     ,5.9
      ostrołęcki                                                      ,10.3
      ostrowski                                                       ,8.3
      otwocki                                                         ,4.1
      piaseczyński                                                    ,4.0
      płocki                                                          ,11.7
      płoński                                                         ,10.4
      pruszkowski                                                     ,3.4
      przasnyski                                                      ,9.5
      przysuski                                                       ,18.3
      pułtuski                                                        ,12.5
      radomski                                                        ,17.7
      siedlecki                                                       ,5.4
      sierpecki                                                       ,16.5
      sochaczewski                                                    ,6.1
      sokołowski                                                      ,5.6
      szydłowiecki                                                    ,24.3
      warszawski zachodni                                             ,2.0
      węgrowski                                                       ,6.4
      wołomiński                                                      ,7.4
      wyszkowski                                                      ,4.4
      zwoleński                                                       ,10.9
      żuromiński                                                      ,14.9
      żyrardowski                                                     ,10.3
      m. Ostrołęka                                                    ,8.9
      m. Płock                                                        ,6.8
      m. Radom                                                        ,12.1
      m. Siedlce                                                      ,5.0
      m. Warszawa                                                     ,1.5
Woj. OPOLSKIE                                                ,6.3
      brzeski                                                         ,8.9
      głubczycki                                                      ,9.5
      kędzierzyńsko-kozielski                                         ,8.0
      kluczborski                                                     ,7.4
      krapkowicki                                                     ,5.2
      namysłowski                                                     ,7.4
      nyski                                                           ,7.9
      oleski                                                          ,4.2
      opolski                                                      ,6.3
      prudnicki                                                       ,9.5
      strzelecki                                                      ,5.1
      m. Opole                                          ,3.3
Woj. PODKARPACKIE                                                     ,8.8
      bieszczadzki                                                    ,13.9
      brzozowski                                                      ,15.6
      dębicki                                                         ,5.7
      jarosławski                                                     ,12.2
      jasielski                                                       ,9.9
      kolbuszowski                                                    ,8.2
      krośnieński                                                     ,6.1
      leżajski                                                        ,13.6
      lubaczowski                                                     ,8.9
      łańcucki                                                        ,11.0
      mielecki                                                        ,4.4
      niżański                                                        ,16.6
      przemyski                                                       ,13.4
      przeworski                                                      ,12.2
      ropczycko-sędziszowski                                          ,11.9
      rzeszowski                                                      ,8.9
      sanocki                                                         ,6.7
      stalowowolski                                                   ,5.5
      strzyżowski                                                     ,14.2
      tarnobrzeski                                                    ,6.6
      leski                                                           ,16.5
      m. Krosno                                                       ,2.6
      m. Przemyśl                                                     ,11.2
      m. Rzeszów                                                      ,5.2
      m. Tarnobrzeg                                                   ,8.4
Woj. PODLASKIE                                                        ,7.8
      augustowski                                                     ,10.1
      białostocki                                                     ,8.9
      bielski                                                         ,5.3
      grajewski                                                       ,13.7
      hajnowski                                                       ,7.7
      kolneński                                                       ,14.3
      łomżyński                                                       ,6.8
      moniecki                                                        ,7.5
      sejneński                                                       ,12.7
      siemiatycki                                                     ,7.1
      sokólski                                                        ,11.1
      suwalski                                                        ,4.1
      wysokomazowiecki                                                ,5.7
      zambrowski                                                      ,7.6
      m. Białystok                                                    ,6.2
      m. Łomża                                                        ,8.6
      m. Suwałki                                                      ,5.4
Woj. POMORSKIE                                                        ,4.9
      bytowski                                                        ,9.8
      chojnicki                                                       ,8.6
      człuchowski                                                     ,9.8
      gdański                                                         ,4.1
      kartuski                                                        ,2.9
      kościerski                                                      ,6.6
      kwidzyński                                                      ,5.3
      lęborski                                                        ,8.8
      malborski                                                       ,12.5
      nowodworski                                                     ,13.3
      pucki                                                           ,7.2
      słupski                                                         ,7.0
      starogardzki                                                    ,5.6
      tczewski                                                        ,6.5
      wejherowski                                                     ,6.6
      sztumski                                                        ,9.8
      m. Gdańsk                                                       ,2.6
      m. Gdynia                                                       ,2.4
      m. Słupsk                                                       ,3.5
      m. Sopot                                                        ,1.8
Woj. ŚLĄSKIE                                                          ,4.3
      będziński                                                       ,7.8
      bielski                                                         ,3.3
      cieszyński                                                      ,4.7
      częstochowski                                                   ,7.3
      gliwicki                                                        ,4.8
      kłobucki                                                        ,7.3
      lubliniecki                                                     ,6.1
      mikołowski                                                      ,3.1
      myszkowski                                                      ,6.1
      pszczyński                                                      ,3.0
      raciborski                                                      ,4.3
      rybnicki                                                        ,5.7
      tarnogórski                                                     ,5.3
      bieruńsko-lędziński                                             ,2.3
      wodzisławski                                                    ,4.8
      zawierciański                                                   ,7.4
      żywiecki                                                        ,6.9
      m. Bielsko-Biała                                                ,1.9
      m. Bytom                                                        ,9.5
      m. Chorzów                                                      ,4.5
      m. Częstochowa                                                  ,3.7
      m. Dąbrowa Górnicza                                             ,5.0
      m. Gliwice                                                      ,3.1
      m. Jastrzębie-Zdrój                                             ,4.4
