Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
01.2018,Razem,427,1,7,30,38,46,34,39,27,40,52,41,25,18,9,10,10,
01.2018,BG KWP Bydgoszcz,15,,,2,1,2,,1,2,3,1,,2,1,,,,
01.2018,BK KWP Białystok,11,,,1,,1,2,,1,,1,3,1,1,,,,
01.2018,GD KWP Gdańsk,25,,1,2,1,6,2,3,1,1,1,1,1,3,2,,,
01.2018,GO KWP Gorzów Wlkp.,15,,,2,1,,3,2,,,1,2,2,,,,2,
01.2018,KA KWP Katowice,45,,1,3,2,3,5,2,5,4,5,5,5,1,1,1,2,
01.2018,KI KWP Kielce,12,,1,1,1,,,1,,3,,2,1,1,1,,,
01.2018,KK KWP Kraków,32,,,1,4,4,,3,6,4,2,4,2,,,2,,
01.2018,LD KWP Łódź,30,,,3,3,4,3,3,2,2,5,1,1,2,,1,,
01.2018,LU KWP Lublin,31,,1,,6,4,3,4,1,,4,2,,1,,1,4,
01.2018,OL KWP Olsztyn,20,,,2,3,2,1,1,,2,2,4,1,1,1,,,
01.2018,OP KWP Opole,7,,1,,,3,1,,1,,1,,,,,,,
01.2018,PO KWP Poznań,23,,,,3,1,,4,1,1,5,2,2,2,2,,,
01.2018,RZ KWP Rzeszów,22,1,,1,1,3,3,1,,4,6,,1,,1,,,
01.2018,SC KWP Szczecin,33,,,3,2,4,2,2,3,2,4,5,1,2,1,2,,
01.2018,WA KSP Warszawa,34,,2,3,3,6,4,2,,5,3,2,,2,,1,1,
01.2018,WA KWP Radom,33,,,2,3,2,2,5,3,4,4,4,3,,,,1,
01.2018,WR KWP Wrocław,39,,,4,4,1,3,5,1,5,7,4,2,1,,2,,
