Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
05.2017,Razem,534,,13,42,38,43,44,47,34,61,65,55,45,17,14,8,8,
05.2017,BG KWP Bydgoszcz,22,,,3,,2,2,,3,1,2,5,,,3,1,,
05.2017,BK KWP Białystok,25,,1,2,2,4,2,1,5,1,2,1,3,,,,1,
05.2017,GD KWP Gdańsk,30,,2,3,1,2,3,4,,6,4,3,,1,,1,,
05.2017,GO KWP Gorzów Wlkp.,22,,,1,,3,1,3,,3,3,3,2,,,1,2,
05.2017,KA KWP Katowice,62,,,7,7,4,9,8,3,2,8,6,3,3,2,,,
05.2017,KI KWP Kielce,28,,,2,2,,3,4,2,5,3,3,3,1,,,,
05.2017,KK KWP Kraków,40,,,3,2,2,1,5,3,4,5,4,6,2,1,2,,
05.2017,LD KWP Łódź,37,,3,2,6,4,1,1,,7,6,3,2,1,1,,,
05.2017,LU KWP Lublin,32,,,3,4,,3,3,1,3,4,4,2,1,4,,,
05.2017,OL KWP Olsztyn,19,,1,2,,1,1,,1,4,3,3,,2,,1,,
05.2017,OP KWP Opole,11,,,,,2,3,1,,3,,,2,,,,,
05.2017,PO KWP Poznań,38,,1,2,4,2,1,3,5,6,4,2,5,1,1,,1,
05.2017,RZ KWP Rzeszów,25,,,3,1,2,3,4,,1,2,4,2,2,,,1,
05.2017,SC KWP Szczecin,16,,1,1,2,1,2,1,1,1,1,3,2,,,,,
05.2017,WA KSP Warszawa,38,,1,3,1,7,2,4,3,2,5,5,2,1,1,,1,
05.2017,WA KWP Radom,41,,2,2,3,3,4,1,3,3,6,4,4,2,1,2,1,
05.2017,WR KWP Wrocław,48,,1,3,3,4,3,4,4,9,7,2,7,,,,1,
