Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,445,,7,37,31,45,41,30,37,39,51,53,26,17,15,7,8,1
BG KWP Bydgoszcz,18,,,1,1,,3,1,2,1,5,1,1,1,,,1,
BK KWP Białystok,10,,,3,3,,,,,2,,1,1,,,,,
GD KWP Gdańsk,23,,,3,,1,2,1,2,3,4,4,1,,1,,,1
GO KWP Gorzów Wlkp.,17,,,1,2,3,3,2,,,,1,1,2,2,,,
KA KWP Katowice,56,,1,1,4,9,3,3,9,6,8,5,2,,,2,3,
KI KWP Kielce,23,,,1,,3,1,2,3,1,4,5,,1,2,,,
KK KWP Kraków,39,,3,3,3,3,2,3,4,2,6,4,2,2,1,,1,
LD KWP Łódź,31,,1,4,3,3,3,1,2,6,1,1,3,2,,1,,
LU KWP Lublin,23,,1,3,2,5,2,1,3,2,2,1,1,,,,,
OL KWP Olsztyn,19,,,2,2,1,,2,,2,4,3,2,1,,,,
OP KWP Opole,13,,,,1,,2,3,,,2,3,1,,,1,,
PO KWP Poznań,29,,,3,2,4,1,1,,2,4,5,2,2,2,1,,
RZ KWP Rzeszów,20,,,1,2,1,4,1,2,3,,1,2,1,1,1,,
SC KWP Szczecin,22,,,2,2,1,6,1,2,3,1,1,1,,1,,1,
WA KSP Warszawa,31,,,1,,3,2,3,3,2,4,5,3,3,1,,1,
WA KWP Radom,26,,1,4,1,4,3,2,2,1,,5,,,1,1,1,
WR KWP Wrocław,45,,,4,3,4,4,3,3,3,6,7,3,2,3,,,
