Przedział wiekowy/KWP ,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,470,,4,30,39,42,41,39,33,45,61,47,35,18,13,10,11,2
BG KWP Bydgoszcz,24,,,3,,1,5,,1,1,3,2,4,2,,,1,1
BK KWP Białystok,14,,,,,1,1,,,3,3,2,1,1,2,,,
GD KWP Gdańsk,37,,,6,1,4,5,3,1,3,2,7,1,,,1,2,1
GO KWP Gorzów Wlkp.,11,,,,,1,,,2,1,2,3,1,1,,,,
KA KWP Katowice,53,,,,5,9,5,5,2,7,7,2,3,2,3,3,,
KI KWP Kielce,15,,,2,3,,2,2,,1,2,1,1,1,,,,
KK KWP Kraków,25,,,2,4,1,3,2,2,2,4,1,3,,,,1,
LD KWP Łódź,36,,1,,5,3,3,4,3,2,5,5,1,2,1,,1,
LU KWP Lublin,36,,,2,1,6,3,5,2,1,4,4,5,,1,1,1,
OL KWP Olsztyn,22,,1,2,2,2,2,,2,3,3,2,1,,1,,1,
OP KWP Opole,12,,,,1,1,,1,2,1,5,1,,,,,,
PO KWP Poznań,32,,1,1,2,2,3,4,5,4,2,3,3,1,,1,,
RZ KWP Rzeszów,23,,,2,2,2,1,,1,3,5,1,1,2,1,,2,
SC KWP Szczecin,23,,,2,2,1,,1,2,3,2,4,2,2,1,,1,
WA KSP Warszawa,27,,,2,4,2,2,3,1,2,3,2,,1,2,3,,
WA KWP Radom,32,,1,1,3,1,,4,3,5,5,3,3,2,,1,,
WR KWP Wrocław,48,,,5,4,5,6,5,4,3,4,4,5,1,1,,1,
