Jednostka terytorialna,Inflacja,Data
Polska,104.3,Jan2020
Polska,104.5,Feb2020
Polska,104.5,Mar2020
Polska,104.2,Apr2020
Polska,104.0,May2020
Polska,103.9,Jun2020
Polska,103.7,Jul2020
Polska,103.6,Aug2020
Polska,103.6,Sep2020
Polska,103.5,Oct2020
Polska,103.5,Nov2020
Polska,103.4,Dec2020
Polska,100.7,Jan2019
Polska,101.0,Feb2019
Polska,101.2,Mar2019
Polska,101.5,Apr2019
Polska,101.7,May2019
Polska,101.8,Jun2019
Polska,102.0,Jul2019
Polska,102.1,Aug2019
Polska,102.1,Sep2019
Polska,102.2,Oct2019
Polska,102.2,Nov2019
Polska,102.3,Dec2019
Polska,101.9,Jan2018
Polska,101.6,Feb2018
Polska,101.5,Mar2018
Polska,101.5,Apr2018
Polska,101.6,May2018
Polska,101.6,Jun2018
Polska,101.7,Jul2018
Polska,101.7,Aug2018
Polska,101.7,Sep2018
Polska,101.7,Oct2018
Polska,101.7,Nov2018
Polska,101.6,Dec2018
Polska,101.7,Jan2017
Polska,102.0,Feb2017
Polska,102.0,Mar2017
Polska,102.0,Apr2017
Polska,102.0,May2017
Polska,101.9,Jun2017
Polska,101.9,Jul2017
Polska,101.9,Aug2017
Polska,101.9,Sep2017
Polska,101.9,Oct2017
Polska,102.0,Nov2017
Polska,102.0,Dec2017
