,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85,Nieustalony wiek,wojewodztwo,Data
1,404,0,13,24,37,40,37,32,32,27,48,40,27,19,12,9,7,0,polska,Jan2017
2,17,0,1,0,4,1,0,2,1,1,1,1,1,3,0,0,1,0,kuj-pom,Jan2017
3,7,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,podlaskie,Jan2017
4,20,0,1,2,1,0,1,3,3,0,4,2,0,2,1,0,0,0,pomorskie,Jan2017
5,16,0,1,1,0,1,2,2,2,3,2,0,1,0,0,0,1,0,lubuskie,Jan2017
6,47,0,1,2,4,5,4,3,4,1,8,2,4,3,3,1,2,0,slaskie,Jan2017
7,11,0,0,0,1,2,2,1,2,2,0,0,0,1,0,0,0,0,swietokrzyskie,Jan2017
8,28,0,0,0,4,3,3,0,2,3,5,6,1,0,1,0,0,0,malopolskie,Jan2017
9,28,0,1,2,2,1,2,1,1,1,6,3,4,3,1,0,0,0,lodzkie,Jan2017
10,31,0,0,5,3,1,1,2,3,2,5,7,2,0,0,0,0,0,lubelskie,Jan2017
11,18,0,0,2,3,1,1,2,1,0,1,1,1,2,0,2,1,0,warm-maz,Jan2017
12,15,0,0,0,1,3,2,1,0,1,4,1,1,0,1,0,0,0,opolskie,Jan2017
13,41,0,1,2,3,8,4,5,2,3,3,4,2,1,0,2,1,0,wielkopolskie,Jan2017
14,22,0,0,2,1,1,1,3,3,2,2,1,3,0,2,1,0,0,podkarpackie,Jan2017
15,19,0,0,1,2,3,4,0,3,1,3,1,0,0,0,1,0,0,zachpom,Jan2017
16,58,0,4,4,6,6,9,6,1,4,2,5,4,3,2,1,1,0,mazowieckie,Jan2017
17,26,0,3,1,2,3,1,0,3,2,1,5,2,1,1,1,0,0,dolnoslaskie,Jan2017
18,427,1,7,30,38,46,34,39,27,40,52,41,25,18,9,10,10,0,polska,Jan2018
19,15,0,0,2,1,2,0,1,2,3,1,0,2,1,0,0,0,0,kuj-pom,Jan2018
20,11,0,0,1,0,1,2,0,1,0,1,3,1,1,0,0,0,0,podlaskie,Jan2018
21,25,0,1,2,1,6,2,3,1,1,1,1,1,3,2,0,0,0,pomorskie,Jan2018
22,15,0,0,2,1,0,3,2,0,0,1,2,2,0,0,0,2,0,lubuskie,Jan2018
23,45,0,1,3,2,3,5,2,5,4,5,5,5,1,1,1,2,0,slaskie,Jan2018
24,12,0,1,1,1,0,0,1,0,3,0,2,1,1,1,0,0,0,swietokrzyskie,Jan2018
25,32,0,0,1,4,4,0,3,6,4,2,4,2,0,0,2,0,0,malopolskie,Jan2018
26,30,0,0,3,3,4,3,3,2,2,5,1,1,2,0,1,0,0,lodzkie,Jan2018
27,31,0,1,0,6,4,3,4,1,0,4,2,0,1,0,1,4,0,lubelskie,Jan2018
28,20,0,0,2,3,2,1,1,0,2,2,4,1,1,1,0,0,0,warm-maz,Jan2018
29,7,0,1,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,opolskie,Jan2018
30,23,0,0,0,3,1,0,4,1,1,5,2,2,2,2,0,0,0,wielkopolskie,Jan2018
31,22,1,0,1,1,3,3,1,0,4,6,0,1,0,1,0,0,0,podkarpackie,Jan2018
32,33,0,0,3,2,4,2,2,3,2,4,5,1,2,1,2,0,0,zachpom,Jan2018
33,67,0,2,5,6,8,6,7,3,9,7,6,3,2,0,1,2,0,mazowieckie,Jan2018
34,39,0,0,4,4,1,3,5,1,5,7,4,2,1,0,2,0,0,dolnoslaskie,Jan2018
35,398,0,6,37,32,28,49,29,37,26,32,39,19,24,14,12,13,1,polska,Jan2019
36,15,0,1,1,2,1,1,1,0,0,1,4,1,1,0,0,0,1,kuj-pom,Jan2019
37,14,0,0,1,3,0,0,2,1,1,2,0,0,0,0,4,0,0,podlaskie,Jan2019
38,30,0,0,3,2,0,5,5,3,4,3,0,1,3,1,0,0,0,pomorskie,Jan2019
39,14,0,0,2,0,0,1,1,2,2,2,1,1,0,1,1,0,0,lubuskie,Jan2019
40,44,0,0,2,5,4,6,3,4,1,3,5,2,2,3,0,4,0,slaskie,Jan2019
41,12,0,0,1,2,1,1,2,0,0,0,0,2,1,0,2,0,0,swietokrzyskie,Jan2019
42,35,0,0,6,2,3,3,0,6,1,4,3,2,2,0,2,1,0,malopolskie,Jan2019
43,23,0,1,2,1,0,4,0,4,0,2,3,0,4,1,0,1,0,lodzkie,Jan2019
44,19,0,0,2,0,1,1,3,3,2,4,1,1,0,1,0,0,0,lubelskie,Jan2019
45,15,0,1,0,1,3,4,0,0,0,0,3,1,1,1,0,0,0,warm-maz,Jan2019
46,9,0,0,2,0,1,3,1,0,0,1,0,0,0,1,0,0,0,opolskie,Jan2019
47,39,0,1,3,5,3,1,7,4,3,3,2,2,1,2,0,2,0,wielkopolskie,Jan2019
48,19,0,1,4,2,0,3,1,2,0,2,3,0,0,0,1,0,0,podkarpackie,Jan2019
49,26,0,0,2,2,3,3,1,1,3,1,4,3,2,0,0,1,0,zachpom,Jan2019
50,51,0,0,1,4,5,6,2,2,5,4,8,2,5,3,1,3,0,mazowieckie,Jan2019
51,33,0,1,5,1,3,7,0,5,4,0,2,1,2,0,1,1,0,dolnoslaskie,Jan2019
52,417,0,8,33,37,33,35,37,35,35,40,40,33,16,17,9,9,0,polska,Jan2020
53,28,0,1,2,6,2,0,1,3,4,4,1,3,0,0,1,0,0,kuj-pom,Jan2020
54,18,0,0,1,0,2,2,2,2,2,1,2,1,2,1,0,0,0,podlaskie,Jan2020
55,22,0,0,1,0,4,1,6,0,3,0,3,2,0,2,0,0,0,pomorskie,Jan2020
56,14,0,0,4,0,0,2,0,0,1,2,4,0,1,0,0,0,0,lubuskie,Jan2020
57,49,0,0,5,3,2,3,5,8,4,6,2,4,2,1,3,1,0,slaskie,Jan2020
58,13,0,0,0,1,0,1,0,1,1,2,2,0,2,1,1,1,0,swietokrzyskie,Jan2020
59,28,0,0,4,3,2,1,2,1,1,2,3,4,2,2,0,1,0,malopolskie,Jan2020
60,24,0,0,0,4,2,4,2,0,0,3,3,3,1,1,1,0,0,lodzkie,Jan2020
61,25,0,0,5,2,3,3,0,2,0,1,3,0,1,3,1,1,0,lubelskie,Jan2020
62,28,0,2,0,3,5,4,1,5,2,2,2,1,0,1,0,0,0,warm-maz,Jan2020
63,7,0,0,1,0,0,1,1,0,2,1,0,1,0,0,0,0,0,opolskie,Jan2020
64,32,0,1,2,4,2,3,5,2,2,4,0,3,1,2,0,1,0,wielkopolskie,Jan2020
65,21,0,0,1,1,1,1,1,1,1,6,2,2,2,2,0,0,0,podkarpackie,Jan2020
66,29,0,2,2,3,0,3,3,4,3,3,4,0,0,1,0,1,0,zachpom,Jan2020
67,52,0,1,3,5,5,5,4,5,7,0,7,5,2,0,1,2,0,mazowieckie,Jan2020
68,27,0,1,2,2,3,1,4,1,2,3,2,4,0,0,1,1,0,dolnoslaskie,Jan2020
69,402,0,6,23,33,46,34,32,40,37,39,46,23,15,7,12,9,0,polska,Feb2017
70,16,0,0,1,2,2,0,0,3,3,1,0,1,2,0,1,0,0,kuj-pom,Feb2017
71,13,0,0,1,0,3,1,1,0,3,3,1,0,0,0,0,0,0,podlaskie,Feb2017
72,24,0,0,3,1,3,2,4,2,0,3,1,3,0,0,1,1,0,pomorskie,Feb2017
73,9,0,1,0,1,2,1,0,0,0,1,1,0,0,0,1,1,0,lubuskie,Feb2017
74,49,0,3,2,3,5,2,4,8,2,8,5,2,2,1,1,1,0,slaskie,Feb2017
75,15,0,0,1,1,1,3,1,0,2,1,1,2,0,0,1,1,0,swietokrzyskie,Feb2017
76,30,0,1,1,3,3,4,2,1,1,2,3,4,1,3,1,0,0,malopolskie,Feb2017
77,20,0,0,1,2,1,3,0,2,1,2,3,2,1,0,0,2,0,lodzkie,Feb2017
78,26,0,0,0,3,0,3,2,3,3,3,7,0,0,0,2,0,0,lubelskie,Feb2017
79,20,0,0,1,2,1,1,1,3,3,1,4,2,0,1,0,0,0,warm-maz,Feb2017
80,9,0,0,0,0,2,1,1,1,1,1,0,2,0,0,0,0,0,opolskie,Feb2017
81,35,0,0,3,3,4,0,4,2,7,5,3,1,2,0,0,1,0,wielkopolskie,Feb2017
82,32,0,0,1,3,5,3,2,1,4,2,6,3,1,1,0,0,0,podkarpackie,Feb2017
83,19,0,0,1,1,4,0,2,2,1,2,3,0,2,0,1,0,0,zachpom,Feb2017
84,53,0,0,6,4,5,7,7,8,3,2,4,0,3,1,2,1,0,mazowieckie,Feb2017
85,32,0,1,1,4,5,3,1,4,3,2,4,1,1,0,1,1,0,dolnoslaskie,Feb2017
86,334,0,2,22,28,26,35,26,30,21,30,49,24,16,8,8,8,1,polska,Feb2018
87,17,0,0,1,2,0,3,2,2,2,1,3,0,1,0,0,0,0,kuj-pom,Feb2018
88,6,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,podlaskie,Feb2018
89,12,0,0,0,1,1,2,2,0,0,0,2,1,1,1,0,1,0,pomorskie,Feb2018
90,8,0,0,0,2,1,1,0,1,0,0,1,1,1,0,0,0,0,lubuskie,Feb2018
